Match ID,Map,Player,K,D,+/-,Ults,FK Diff,Rating,Hero-Ratings,Show K-D(U)
2681,Dorado,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2681,Hanamura,New York Excelsior,MekO,Saebyeolbe,Libero,Mano,ANAMO,JJoNak
2681,Hanamura,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2681,Oasis,New York Excelsior,MekO,janus,Pine,Libero,ANAMO,JJoNak
2681,Oasis,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2681,Blizzard World,New York Excelsior,MekO,Saebyeolbe,Libero,Mano,ArK,JJoNak
3142,Dorado,Dallas Fuel,Seagull,aKm,uNKOE,HarryHook,Mickie,OGe
3142,Watchpoint: Gibraltar,New York Excelsior,MekO,Pine,Libero,Mano,ArK,JJoNak
3142,Watchpoint: Gibraltar,Dallas Fuel,Seagull,uNKOE,Taimou,HarryHook,Mickie,OGe
3142,Horizon Lunar Colony,New York Excelsior,MekO,Saebyeolbe,Libero,Mano,ANAMO,JJoNak
3142,Horizon Lunar Colony,Dallas Fuel,Seagull,uNKOE,Taimou,HarryHook,Mickie,OGe
3142,Lijiang Tower,New York Excelsior,MekO,Saebyeolbe,janus,Libero,ANAMO,JJoNak
3142,Lijiang Tower,Dallas Fuel,Seagull,uNKOE,Taimou,HarryHook,Mickie,OGe
3142,King's Row,New York Excelsior,MekO,Saebyeolbe,janus,Libero,ArK,JJoNak
3142,King's Row,Dallas Fuel,Seagull,uNKOE,Taimou,HarryHook,Mickie,OGe
3142,Dorado,New York Excelsior,MekO,Pine,Libero,Mano,ArK,JJoNak
2680,Dorado,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2680,Watchpoint: Gibraltar,Los Angeles Gladiators,Surefour,Fissure,Shaz,Hydration,Bischu,BigG00se
2680,Watchpoint: Gibraltar,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2680,Horizon Lunar Colony,Los Angeles Gladiators,Surefour,Fissure,Shaz,Hydration,Bischu,BigG00se
2680,Horizon Lunar Colony,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2680,Lijiang Tower,Los Angeles Gladiators,Surefour,Fissure,Shaz,Hydration,Void,BigG00se
2680,Lijiang Tower,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2680,King's Row,Los Angeles Gladiators,Surefour,Fissure,Shaz,Hydration,Void,BigG00se
2680,King's Row,Los Angeles Valiant,Custa,Agilities,SoOn,Kariv,Space,FaTe
2680,Dorado,Los Angeles Gladiators,Surefour,Fissure,Shaz,Hydration,Bischu,BigG00se
2679,Watchpoint: Gibraltar,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
2679,King's Row,Florida Mayhem,TviQ,Zebbosai,Zuppeh,zappis,CWoosH,Logix
2679,King's Row,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
2679,Horizon Lunar Colony,Florida Mayhem,TviQ,Zebbosai,Zuppeh,zappis,CWoosH,Logix
2679,Horizon Lunar Colony,Boston Uprising,Gamsu,Striker,Kellex,NotE,Mistakes,Neko
2679,Lijiang Tower,Florida Mayhem,TviQ,Zebbosai,Zuppeh,zappis,CWoosH,Logix
2679,Lijiang Tower,Boston Uprising,Gamsu,Striker,NotE,Snow,Mistakes,Neko,Kellex
2679,Watchpoint: Gibraltar,Florida Mayhem,TviQ,Zebbosai,Zuppeh,zappis,CWoosH,Logix
2678,Dorado,Shanghai Dragons,Diya,Freefeel,Geguri,Ado,Altering,Fearless
2678,Blizzard World,San Francisco Shock,Nevix,sinatraa,super,Sleepy,Moth,Architect
2678,Blizzard World,Shanghai Dragons,Diya,Freefeel,Geguri,Ado,Altering,Fearless
2678,Horizon Lunar Colony,San Francisco Shock,Nevix,sinatraa,super,Sleepy,Moth,Architect
2678,Horizon Lunar Colony,Shanghai Dragons,Freefeel,Daemin,Geguri,Ado,Altering,Fearless
